state_key,instance_id,dataset_origin,scale,search_stage,top1_changed,top5_overlap,neural_top1_adjusted_rank,portfolio_top1_neural_rank,mean_neural_top5_rank_shift,production_vs_neural_disagreement,production_vs_portfolio_disagreement,neural_U0,portfolio_U0,selected_U0,portfolio_minus_neural_U0,selected_minus_neural_U0,neural_U1,portfolio_U1,selected_U1,portfolio_minus_neural_U1,selected_minus_neural_U1
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.50,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R04:seed817000099:iteration2860,CB1_TRAIN_S_CF1_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF1_RI1_TI2_R04:seed817000090:iteration1940,CB1_TRAIN_M_CF1_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,True,4,2,2,0.8,True,True,13.0,0.0,0.0,-13.0,-13.0,13.0,8.0,0.0,-5.0,-13.0
CLEAN|CB1_TRAIN_S_CF2_RI1_TI1_R02:seed817000063:iteration2820,CB1_TRAIN_S_CF2_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_M_CF1_RI2_TI2_R12|746102|0.85,CB1_CAUR_M_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,M,80-100%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF1_RI1_TI1_R01:seed817000054:iteration2760,CB1_TRAIN_S_CF1_RI1_TI1_R01,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_L_CF1_RI1_TI3_R04:seed817000081:iteration1660,CB1_TRAIN_L_CF1_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,L,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_L_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_L_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,L,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF3_RI1_TI3_R04:seed817000105:iteration2660,CB1_TRAIN_S_CF3_RI1_TI3_R04,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_L_CF3_RI2_TI2_R12_C02|746102|0.85,CB1_CAUR_L_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,L,80-100%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF2_RI1_TI1_R03:seed817000036:iteration2140,CB1_TRAIN_M_CF2_RI1_TI1_R03,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,False,4,1,1,0.2,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_S_CF2_RI1_TI2_R04:seed817000102:iteration2840,CB1_TRAIN_S_CF2_RI1_TI2_R04,CLEAN_NON_R12_DEVELOPMENT,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.50,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_M_CF1_RI1_TI1_R02:seed817000027:iteration2040,CB1_TRAIN_M_CF1_RI1_TI1_R02,CLEAN_NON_R12_DEVELOPMENT,M,40-60%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF3_RI2_TI2_R12_C02|746102|0.15,CB1_CAUR_S_CF3_RI2_TI2_R12_C02,R12_DEVELOPMENT_EXPOSED,S,0-20%,False,5,1,1,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEAN|CB1_TRAIN_L_CF2_RI1_TI1_R04:seed817000084:iteration1680,CB1_TRAIN_L_CF2_RI1_TI1_R04,CLEAN_NON_R12_DEVELOPMENT,L,40-60%,False,4,1,1,0.2,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12|CB1_CAUR_S_CF1_RI2_TI2_R12|746102|0.15,CB1_CAUR_S_CF1_RI2_TI2_R12,R12_DEVELOPMENT_EXPOSED,S,0-20%,True,4,3,3,1.6,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
