scale,CF_level,RI_level,TI_level,search_stage,state_count
L,CF3,RI3,TI3,40-60%,40
L,CF3,RI3,TI3,60-80%,40
L,CF3,RI3,TI3,80-100%,40
M,CF1,RI1,TI1,0-20%,25
M,CF1,RI1,TI1,20-40%,25
M,CF1,RI1,TI1,40-60%,25
M,CF1,RI1,TI1,60-80%,25
M,CF1,RI1,TI1,80-100%,25
M,CF1,RI1,TI2,0-20%,25
M,CF1,RI1,TI2,20-40%,25
M,CF1,RI1,TI2,40-60%,25
M,CF1,RI1,TI2,60-80%,25
M,CF1,RI1,TI2,80-100%,25
M,CF1,RI1,TI3,0-20%,25
M,CF1,RI1,TI3,20-40%,25
M,CF1,RI1,TI3,40-60%,25
M,CF1,RI1,TI3,60-80%,25
M,CF1,RI1,TI3,80-100%,25
M,CF1,RI2,TI1,0-20%,25
M,CF1,RI2,TI1,20-40%,25
M,CF1,RI2,TI1,40-60%,25
M,CF1,RI2,TI1,60-80%,25
M,CF1,RI2,TI1,80-100%,25
M,CF1,RI2,TI2,0-20%,25
M,CF1,RI2,TI2,20-40%,25
M,CF1,RI2,TI2,40-60%,25
M,CF1,RI2,TI2,60-80%,25
M,CF1,RI2,TI2,80-100%,25
M,CF1,RI2,TI3,0-20%,25
M,CF1,RI2,TI3,20-40%,25
M,CF1,RI2,TI3,40-60%,25
M,CF1,RI2,TI3,60-80%,25
M,CF1,RI2,TI3,80-100%,25
M,CF1,RI3,TI1,0-20%,25
M,CF1,RI3,TI1,20-40%,25
M,CF1,RI3,TI1,40-60%,25
M,CF1,RI3,TI1,60-80%,25
M,CF1,RI3,TI1,80-100%,25
M,CF1,RI3,TI2,0-20%,25
M,CF1,RI3,TI2,20-40%,25
M,CF1,RI3,TI2,40-60%,25
M,CF1,RI3,TI2,60-80%,25
M,CF1,RI3,TI2,80-100%,25
M,CF1,RI3,TI3,0-20%,25
M,CF1,RI3,TI3,20-40%,25
M,CF1,RI3,TI3,40-60%,25
M,CF1,RI3,TI3,60-80%,25
M,CF1,RI3,TI3,80-100%,25
M,CF2,RI1,TI1,0-20%,25
M,CF2,RI1,TI1,20-40%,25
M,CF2,RI1,TI1,40-60%,25
M,CF2,RI1,TI1,60-80%,25
M,CF2,RI1,TI1,80-100%,25
M,CF2,RI1,TI2,0-20%,25
M,CF2,RI1,TI2,20-40%,25
M,CF2,RI1,TI2,40-60%,25
M,CF2,RI1,TI2,60-80%,25
M,CF2,RI1,TI2,80-100%,25
M,CF2,RI1,TI3,0-20%,25
M,CF2,RI1,TI3,20-40%,25
M,CF2,RI1,TI3,40-60%,25
M,CF2,RI1,TI3,60-80%,25
M,CF2,RI1,TI3,80-100%,25
M,CF2,RI2,TI1,0-20%,25
M,CF2,RI2,TI1,20-40%,25
M,CF2,RI2,TI1,40-60%,25
M,CF2,RI2,TI1,60-80%,25
M,CF2,RI2,TI1,80-100%,25
M,CF2,RI2,TI2,0-20%,25
M,CF2,RI2,TI2,20-40%,25
M,CF2,RI2,TI2,40-60%,25
M,CF2,RI2,TI2,60-80%,25
M,CF2,RI2,TI2,80-100%,25
M,CF2,RI2,TI3,0-20%,25
M,CF2,RI2,TI3,20-40%,25
M,CF2,RI2,TI3,40-60%,25
M,CF2,RI2,TI3,60-80%,25
M,CF2,RI2,TI3,80-100%,25
M,CF2,RI3,TI1,0-20%,25
M,CF2,RI3,TI1,20-40%,25
M,CF2,RI3,TI1,40-60%,25
M,CF2,RI3,TI1,60-80%,25
M,CF2,RI3,TI1,80-100%,25
M,CF2,RI3,TI2,0-20%,25
M,CF2,RI3,TI2,20-40%,25
M,CF2,RI3,TI2,40-60%,25
M,CF2,RI3,TI2,60-80%,25
M,CF2,RI3,TI2,80-100%,25
M,CF2,RI3,TI3,0-20%,25
M,CF2,RI3,TI3,20-40%,25
M,CF2,RI3,TI3,40-60%,25
M,CF2,RI3,TI3,60-80%,25
M,CF2,RI3,TI3,80-100%,25
M,CF3,RI1,TI1,0-20%,40
M,CF3,RI1,TI1,20-40%,40
M,CF3,RI1,TI1,40-60%,40
M,CF3,RI1,TI1,60-80%,40
M,CF3,RI1,TI1,80-100%,40
M,CF3,RI1,TI2,0-20%,40
M,CF3,RI1,TI2,20-40%,40
M,CF3,RI1,TI2,40-60%,40
M,CF3,RI1,TI2,60-80%,40
M,CF3,RI1,TI2,80-100%,40
M,CF3,RI1,TI3,0-20%,40
M,CF3,RI1,TI3,20-40%,40
M,CF3,RI1,TI3,40-60%,40
M,CF3,RI1,TI3,60-80%,40
M,CF3,RI1,TI3,80-100%,40
M,CF3,RI2,TI1,0-20%,40
M,CF3,RI2,TI1,20-40%,40
M,CF3,RI2,TI1,40-60%,40
M,CF3,RI2,TI1,60-80%,40
